source_id,title,url_or_path,source_type,published_at,accessed_at,commit_sha,license,relevance,notes
SRC-001,dharma_swarm,https://github.com/AmitabhainArunachala/dharma_swarm,public repository,2026-07-13,2026-07-13,c14b950bc5009f2200d9425155010be508ead981,repository license files govern,Dharma baseline,Principal claims: Current remote main at evidence freeze; implementation and tests | Modality notes: Observed artifact; remote may advance
SRC-002,Welcome to Antithesis,https://antithesis.com/docs/,official documentation,undated,2026-07-13,"",proprietary platform documentation,Product overview,Principal claims: Additional staging-like environment; customer containers; hostile simulation; replay and reports | Modality notes: Official claim
SRC-003,How Antithesis works,https://antithesis.com/docs/introduction/how_antithesis_works/,official documentation,undated,2026-07-13,"",proprietary platform documentation,Search model,Principal claims: Feedback-guided or reinforcement-learning exploration; multiverse branching; properties and replay | Modality notes: Official high-level claim; algorithm undisclosed
SRC-004,So you think you want to write a deterministic hypervisor?,https://antithesis.com/blog/deterministic_hypervisor/,official engineering blog,2024-03-20,2026-07-13,"",copyright Antithesis,Core architecture,Principal claims: Determinator; FreeBSD bhyve; Intel VMX and counters; one-core VMs; deterministic I/O; snapshot details withheld | Modality notes: Detailed official report
SRC-005,Deterministic simulation testing,https://antithesis.com/docs/resources/deterministic_simulation_testing/,official documentation,undated,2026-07-13,"",proprietary platform documentation,DST concept,Principal claims: Deterministic hypervisor; state exploration and properties; dependencies mocked | Modality notes: Official claim
SRC-006,Traditional tests confirm. Antithesis discovers.,https://antithesis.com/product/,official product page,undated,2026-07-13,"",proprietary product,Capabilities and deployment,Principal claims: One-core whole-system simulation; Docker and Kubernetes; SDKs; customer VPC; universal marketing language | Modality notes: Marketing claim
SRC-007,The Antithesis environment,https://antithesis.com/docs/configuration/the_antithesis_environment/,official documentation,undated,2026-07-13,"",proprietary platform documentation,Runtime scope,Principal claims: Linux 6.1-like x86-64 or Skylake; no ARM or nested virtualization or internet; resource limits | Modality notes: Official supported envelope
SRC-008,Fault injection overview,https://antithesis.com/docs/concepts/fault_injection/,official documentation,undated,2026-07-13,"",proprietary platform documentation,Fault model,Principal claims: Network; process; node; clock; scheduling and CPU faults | Modality notes: Official claim
SRC-009,SDK overview,https://antithesis.com/docs/using_antithesis/sdk/,official documentation,undated,2026-07-13,"",SDK-specific open licenses; core proprietary,Language and oracle support,Principal claims: C/C++; Go; Java; JavaScript; .NET; Python; Rust; properties; randomness; lifecycle | Modality notes: Official support statement
SRC-010,Assertions,https://antithesis.com/docs/properties_assertions/assertions/,official documentation,undated,2026-07-13,"",proprietary documentation,Oracle semantics,Principal claims: Always; sometimes; reachability declarations and evaluations; assertions guide exploration | Modality notes: Official claim
SRC-011,Generate randomness,https://antithesis.com/docs/using_antithesis/sdk/generate_randomness/,official documentation,undated,2026-07-13,"",proprietary documentation,Controlled choices,Principal claims: Overridden entropy and structured SDK randomness | Modality notes: Official claim
SRC-012,Docker Compose setup guide,https://antithesis.com/docs/getting_started/deploy_to_antithesis/,official documentation,undated,2026-07-13,"",proprietary platform documentation,Integration,Principal claims: x86 production images; config/test image; registry and setup-complete flow | Modality notes: Official support statement
SRC-013,Kubernetes setup guide,https://antithesis.com/docs/getting_started/setup_k8s/,official documentation,undated,2026-07-13,"",proprietary platform documentation,Integration,Principal claims: Kubernetes packaging and documented limitations | Modality notes: Official support statement
SRC-014,Handling external dependencies,https://antithesis.com/docs/reference/dependencies/,official documentation,undated,2026-07-13,"",proprietary platform documentation,Hermeticity,Principal claims: External services must be containerized; replaced; or mocked; no internet | Modality notes: Official boundary
SRC-015,Debugging,https://antithesis.com/docs/debugging/,official documentation,undated,2026-07-13,"",proprietary platform documentation,RCA and replay,Principal claims: Causality analysis and multiverse debugging | Modality notes: Official capability claim
SRC-016,Debugging in the Multiverse,https://antithesis.com/blog/multiverse_debugging/,official engineering blog,2024-09-10,2026-07-13,"",copyright Antithesis,Debugging demonstration,Principal claims: Reactive notebook; time travel; counterfactual branches | Modality notes: Vendor demonstration
SRC-017,Properties,https://antithesis.com/docs/product/reports/properties/,official documentation,undated,2026-07-13,"",proprietary platform documentation,Report semantics,Principal claims: Property history and execution ordering; linked artifacts | Modality notes: Official claim
SRC-018,The triage report,https://antithesis.com/docs/reports/,official documentation,undated,2026-07-13,"",proprietary platform documentation,Output model,Principal claims: Findings; environment; utilization; properties and causal links | Modality notes: Official claim
SRC-019,CI integration,https://antithesis.com/docs/using_antithesis/ci,official documentation,undated,2026-07-13,"",proprietary platform documentation,Developer workflow,Principal claims: CI and GitHub Action integration | Modality notes: Official support statement
SRC-020,Product FAQs,https://antithesis.com/docs/faq/customer_faq/,official documentation,undated,2026-07-13,"",proprietary platform documentation,Operating cadence,Principal claims: Typical nightly and commit-run cadence; test-hour accounting | Modality notes: Official claim
SRC-021,About Antithesis POCs,https://antithesis.com/docs/faq/poc_faq/,official documentation,undated,2026-07-13,"",proprietary platform documentation,Commercial onboarding,Principal claims: Two-week POC and known-bug or fix or retest method | Modality notes: Official claim
SRC-022,Access and authentication,https://antithesis.com/docs/configuration/auth/,official documentation,undated,2026-07-13,"",proprietary platform documentation,Security,Principal claims: Tenant isolation; machine credentials; OIDC and SSO; signed report URLs | Modality notes: Official claim; assurance reports not inspected
SRC-023,Security at Antithesis: A Manifesto,https://antithesis.com/security/manifesto/,official security document,2025-07-11 revision,2026-07-13,"",copyright Antithesis,Security posture,Principal claims: Dedicated infrastructure; cloud trust; SOC 2 and pen-test claims; explicit non-goals and weak points | Modality notes: Official claim with candid limits
SRC-024,Information security policy,https://antithesis.com/security/policy/,official policy,undated,2026-07-13,"",copyright Antithesis,Security controls,Principal claims: Encryption; separation; vendor trust; data restrictions; breach notification | Modality notes: Official policy
SRC-025,Optimizing your Antithesis environment,https://antithesis.com/docs/best_practices/optimizing/,official documentation,undated,2026-07-13,"",proprietary documentation,Data boundary,Principal claims: Do not submit real PII; PHI; or production customer data; optimize target | Modality notes: Official guidance
SRC-026,Our own worst best customer,https://antithesis.com/blog/2025/testing_pangolin/,official engineering blog,2025-03-27,2026-07-13,"",copyright Antithesis,Dogfooding and limits,Principal claims: Pangolin; 150+ properties; report bottlenecks; false positives; scale and load-testing limits | Modality notes: Candid official report
SRC-027,How we interfaced single-threaded C++ with multi-threaded Rust,https://antithesis.com/blog/2026/rust_cpp/,official engineering blog,2026-01-29,2026-07-13,"",copyright Antithesis,Internal implementation,Principal claims: Single-threaded production fuzzer and Rust controller integration | Modality notes: Partial disclosure
SRC-028,What are skiplists good for?,https://antithesis.com/blog/2026/skiptrees/,official engineering blog,2026-04-16,2026-07-13,"",copyright Antithesis,Analysis storage,Principal claims: BigQuery and skiptree history; migration to Pangolin | Modality notes: Partial disclosure
SRC-029,Pre-observability,https://antithesis.com/blog/2025/logs_explorer/,official engineering blog,2025-07-02,2026-07-13,"",copyright Antithesis,Analysis UI,Principal claims: Execution-tree and customer log exploration | Modality notes: Official demonstration
SRC-030,The worst bug we faced at Antithesis,https://antithesis.com/blog/worst_bug/,official engineering blog,2024-05-21,2026-07-13,"",copyright Antithesis,Infrastructure limits,Principal claims: FreeBSD and bhyve; custom networking; physical hosts; infrastructure failure | Modality notes: Official retrospective
SRC-031,Release notes,https://antithesis.com/docs/release_notes/,official release notes,ongoing through 2026-06-05,2026-07-13,"",proprietary platform,Current operating status,Principal claims: Active release stream including version 55.13 | Modality notes: Observed publication activity
SRC-032,We have built bug-free software. So can you.,https://antithesis.com/company/about/,official company page,undated,2026-07-13,"",copyright Antithesis,History and founders,Principal claims: FoundationDB; Apple; 2018 formation; first customer; launch | Modality notes: Company-reported history
SRC-033,Is something bugging you?,https://antithesis.com/blog/is_something_bugging_you/,founder launch post,2024-02-13,2026-07-13,"",copyright Antithesis,Founding narrative,Principal claims: FoundationDB lineage; 2018 start; early Ethereum work | Modality notes: Founder-reported
SRC-034,Help redefine how software gets built.,https://antithesis.com/company/careers/,official careers page,current,2026-07-13,"",copyright Antithesis,Operating status,Principal claims: Current team and openings | Modality notes: Activity signal only
SRC-035,Software as a Service Terms and Conditions,https://antithesis.com/legal/saas_terms_2026_03_31/,official legal terms,2026-03-31,2026-07-13,"",proprietary SaaS,Entity and legal model,Principal claims: Antithesis Operations LLC; proprietary service; order-based commercial terms | Modality notes: Legal source
SRC-036,Proof of Concept Terms,https://antithesis.com/legal/poc_terms/,official legal terms,current,2026-07-13,"",proprietary SaaS,Pricing signal,Principal claims: Fees and scope in order; no public price list | Modality notes: Legal source
SRC-037,When your customer leads your Series A,https://antithesis.com/blog/2025/series_a/,official company announcement,2025-12-03,2026-07-13,"",copyright Antithesis,Funding,Principal claims: Company says $105M Series A led by Jane Street | Modality notes: Issuer report; not technical proof
SRC-038,Jane Street Leads Antithesis's $105M Series A to Make Deterministic Simulation Testing the New Standard,https://www.prnewswire.com/news-releases/jane-street-leads-antithesiss-105m-series-a-to-make-deterministic-simulation-testing-the-new-standard-302631076.html,company press release,2025-12-03,2026-07-13,"",press release,Funding corroboration,Principal claims: Issuer-supplied round amount and investors | Modality notes: Company claim
SRC-039,Antithesis raises $47M to launch an automated testing platform for software,https://techcrunch.com/2024/02/13/antithesis-raises-47m-to-launch-an-automated-testing-platform-for-software/,business press,2024-02-13,2026-07-13,"",copyright publisher,Seed financing,Principal claims: $47M seed; customers and valuation reporting | Modality notes: Third-party report
SRC-040,Antithesis Company Overview and News,https://www.forbes.com/companies/antithesis/,business profile,2026-02-19 update,2026-07-13,"",copyright publisher,Commercial status,Principal claims: Reports about 40 customers and near-$10M ARR | Modality notes: Unaudited third-party report
SRC-041,Autonomous Testing of etcd's Robustness,https://etcd.io/blog/2025/autonomus_testing_with_antithesis/,independent project engineering blog,2025-10-03,2026-07-13,"",copyright etcd authors,Strongest efficacy evidence,Principal claims: 830 wall-clock hours; 4.5 simulated years; selected known and new issues with fixes | Modality notes: Project-authored report; no controlled baseline
