path	kind	head	branch_or_state	current_status_lines	current_status_header	preserved_unique_20260624	primary_class	evidence	next_action
/Users/dhyana/dharma_swarm	registered_worktree	69506fc80	recover/dharma-capital-2026-06-24	210	## recover/dharma-capital-2026-06-24...origin/recover/dharma-capital-2026-06-24	1	ACTIVE_RUNTIME_SUBSTRATE	Dirty primary checkout; pushed recovery branch; preservation root has overlay; onboard says ahead 10 behind 257 vs origin/main	Do not merge wholesale; use as source only after packet-level classification
/private/tmp/dharma_nim_main_check	pruned_worktree_registration	4394d81b2	model-routing/nim-live-catalog-fix-20260620	REMOVED	PRUNED_BY_APPROVED_BATCH	0	DUPLICATE_OR_SUPERSEDED	Worktree registration was prunable; approved `worktree prune --verbose` removed only the stale registration	Removed in first approved batch at 2026-06-25T120918JST
/private/tmp/dharma_swarm_prod_readiness_20260623_839fd25	removed_detached_worktree	839fd25f4	DETACHED	REMOVED	REMOVED_BY_APPROVED_BATCH	0	ARCHIVE_ONLY	Keeper prod-readiness files were byte-identical on origin/main; approved force removal completed	Removed in first approved batch at 2026-06-25T120918JST
/private/tmp/ds_pr674_merge_check	removed_detached_worktree	98a221698	DETACHED	REMOVED	REMOVED_BY_APPROVED_BATCH	0	DUPLICATE_OR_SUPERSEDED	Clean detached merge-check worktree; approved worktree removal completed	Removed in first approved batch at 2026-06-25T120918JST
/private/tmp/ds_provider_review	registered_worktree	f4814580a	fix/provider-discoverability	2	## fix/provider-discoverability...origin/fix/provider-discoverability [gone]	0	DUPLICATE_OR_SUPERSEDED	PR #675 merge is visible in origin/main history; local branch has 2 dirty files but no June 24 unique files	Review dirty overlay before pruning; do not promote branch as a lane
/Users/dhyana/dharma_helm_build	registered_worktree	680b013c0	helm/worldclass-20260612	9	## helm/worldclass-20260612...origin/helm/worldclass-20260612 [ahead 57]	1	DASHBOARD_OPERATOR_SURFACE	Contains terminal/Helm branch plus `reports/terminal/HELM_CLOSEOUT_2026-06-16.md` keeper	Open a Helm terminal PR lane after live-use gate and rebase
/Users/dhyana/dharma_swarm_cashclaw	registered_worktree	c487d2725	cashclaw/revenue-hydra-v1	18	## cashclaw/revenue-hydra-v1...origin/cashclaw/revenue-hydra-v1	714	REVENUE_OR_CAPITAL_EXPERIMENT	Branch has CashClaw history; preserved overlay is generated revenue_wedge/evolution outputs	Keep code/history separate from generated output; do not port overlay
/Users/dhyana/dharma_swarm_live	registered_worktree	e67b91829	organ/03-seat	1	## organ/03-seat...origin/organ/03-seat	0	ACTIVE_RUNTIME_SUBSTRATE	Live/organ seat branch with staged state and no preserved unique overlay	Leave untouched; classify as runtime seat evidence
/Users/dhyana/dharma_swarm_main	detached_worktree	86418541a	DETACHED	9	## HEAD (no branch)	0	DUPLICATE_OR_SUPERSEDED	Detached stale main-like checkout; audit says shared local main stale and not ahead	Do not use as baseline; baseline is refreshed origin/main
/Users/dhyana/ds_a2a_nats_rebuild_preflight_20260618	registered_worktree	86418541a	runtime-truth/nats-rebuild-preflight-20260618	82	## runtime-truth/nats-rebuild-preflight-20260618...origin/main [behind 174]	316	ACTIVE_RUNTIME_SUBSTRATE	Contains real A2A/NATS code, scripts, locked spec, tests, and many run receipts	Rebase and split into runtime-truth-nats PR; do not merge generated receipts wholesale
