_rebase_tmp	origin/codex/toolbelt-onboarding	31f0b8d1a	2026-06-02 10:07:16 +0000	fix(docops): correct manifest counts from docops metrics
_rtmp	origin/devin/1779503110-staging-promote-hermes-wiring	eb6d8d883	2026-06-05 10:25:24 +0900	fix(ops): restrict review mark authority to operator [impact-checked]
agent/artha-cream-seed		35bbcb9e5	2026-06-26 12:02:48 +0900	agent(artha_cream): seed ARTHA_CREAM — the Don, scrappy-revenue command holon
agent/magpie-seed		260a11539	2026-06-28 01:24:09 +0900	snapshot: preserve agent/magpie-seed WIP before metabolize (rescue; guards intentionally bypassed)
anti-slop/pudgala-forge-2026-06	origin/anti-slop/pudgala-forge-2026-06	b3cf8f855	2026-06-26 00:56:18 +0900	address pudgala forge review blockers
archive/trust-build-compass-20260605		4bb47aedd	2026-06-03 06:09:48 +0800	docs(operator-os): close eight-hour mission
audit/runtime-truth-2026-04-26		60666c387	2026-05-10 22:44:06 +0800	fix(runtime): normalize executive campaign datetimes [impact-checked]
backup/memory-kernel-prep-2026-05-14		b14bea571	2026-05-14 06:31:33 +0800	feat(memory): add context shadow sweep [impact-checked]
backup/route-witness-main-pre-rebase-2026-05-13		caf59efc2	2026-05-13 17:07:23 +0800	feat(routing): add route witness telemetry [impact-checked]
backup/route-witness-pr297-pre-rebase-2026-05-13		7b2c08f9d	2026-05-13 22:48:23 +0800	docs(docops): refresh route witness inventory [impact-checked]
base/brief-to-spec-seam-018ef60		018ef604a	2026-05-07 06:34:35 +0800	feat(build): brief_to_spec — synthesis→action seam + pilot00 pipeline
cashclaw/revenue-hydra-v1	origin/cashclaw/revenue-hydra-v1	c487d2725	2026-06-14 05:10:35 +0900	scan: add farm detection (0-merge repos flagged as DO NOT CLAIM)
chore/action-authority-gate-spec	origin/main	32e3eb224	2026-05-04 23:42:17 +0800	fix(governance): restore local telic seam writeback
chore/agentops-base-check		b2ef97684	2026-05-04 22:18:10 +0800	test(governance): use active python for cli subprocesses
chore/agentops-v0		a36b445b2	2026-05-04 23:00:26 +0800	chore(agentops): add governed work packet runner
chore/authority-ptr-rollup	origin/main	25a02e555	2026-05-05 00:08:20 +0800	docs(governance): register ptr state ownership
chore/brake-stabilization		d8a5cdcb0	2026-05-02 16:42:20 +0800	docs(cleanup): preserve current audit and control maps
chore/capsule-coherence-tool		cc135f624	2026-05-03 23:04:39 +0800	chore(governance): add capsule coherence report
chore/command-plane-nav-trim	origin/chore/command-plane-nav-trim	b7ab21759	2026-05-22 22:08:59 +0800	feat(cockpit): consume /api/manifest/command-plane via CommandPlaneTruthPanel
chore/control-plane-stabilizer		d514f6ae1	2026-05-03 22:15:59 +0800	fix(control): restore CLI collection compatibility
chore/core-four-ontology-phase3		5339d5091	2026-05-04 18:41:30 +0800	feat(ontology): add core four value metrics
chore/current-truth-refresh	origin/main	ec74ee0c6	2026-05-06 13:40:04 +0800	docs(governance): refresh current repo truth
chore/daily-brief-discovery-agentops		e4aa01e71	2026-05-04 23:34:55 +0800	chore(agentops): add governed work packet runner
chore/docops-integrity-v0		93132013f	2026-05-05 23:23:12 +0800	docs(docops): add semantic codec readiness plan
chore/docops-ttl-renewal-20260612	origin/chore/docops-ttl-renewal-20260612	4c65f017e	2026-06-12 01:06:32 +0900	chore(docops): re-verify assertions, renew TTL 2026-06-12
chore/governance-truth-repairs		70908ab53	2026-05-04 14:54:12 +0800	fix(governance): sharpen assurance truth signals
chore/invariant-daily-insight-seam		5dd1dfb5d	2026-05-03 22:28:02 +0800	fix(telic): preserve proposal linkage for insight chain
chore/kaizen-review-v0		f01b79851	2026-05-05 00:10:16 +0800	chore(kaizen): add AgentOps review report
chore/kimi-claw-agentops-task		e4aa01e71	2026-05-04 23:34:55 +0800	chore(agentops): add governed work packet runner
chore/loop1-truth-registry		b329e1abe	2026-05-06 12:40:14 +0800	docs(governance): overlay current loop1 truth maps
chore/memory-tail-proof		56b92d359	2026-05-03 22:35:13 +0800	fix(telic): preserve agent runner proposal linkage
chore/opportunity-dispatcher-budget-fix		94f79b407	2026-05-03 18:44:32 +0800	fix(governance): route local semgrep through ca wrapper
chore/opportunity-dispatcher-budget-surgeon		cd71d5d1a	2026-05-03 22:22:00 +0800	refactor(opportunity): extract dispatcher support capsules
chore/phase2-governance-checkpoint		0ba34f6b9	2026-05-04 21:49:10 +0800	test(observability): isolate local trace store
chore/phase2-governance-rollup	origin/chore/phase2-governance-rollup	e4aa01e71	2026-05-04 23:34:55 +0800	chore(agentops): add governed work packet runner
chore/phase2-governance-rollup-core-four		74d14cba1	2026-05-04 21:43:32 +0800	feat(ontology): add core four value metrics
chore/phase2-test-verify		94f79b407	2026-05-03 18:44:32 +0800	fix(governance): route local semgrep through ca wrapper
chore/render-on-demand-stop-churn-20260625	origin/main	21ee18b36	2026-06-25 09:51:36 +0900	feat(governance): advisory track acceptance-strength membrane (#685)
chore/repo-runway-daily-brief-seam	origin/main	bb64f2dcc	2026-05-07 22:52:42 +0800	feat(ops): add repo cleanup pressure cockpit [structural-delete-approved]
chore/semgrep-high-risk-batch		fba32965d	2026-05-03 23:07:35 +0800	fix(governance): remove high-risk command and eval sinks
chore/semgrep-rule-scope		5aa592bb6	2026-05-03 23:05:20 +0800	fix(governance): exclude semgrep test rules from local scans
chore/semgrep-triage		94f79b407	2026-05-03 18:44:32 +0800	fix(governance): route local semgrep through ca wrapper
chore/state-authority-map		94f79b407	2026-05-03 18:44:32 +0800	fix(governance): route local semgrep through ca wrapper
chore/telic-seam-budget-exception		c71db6e74	2026-05-03 23:02:45 +0800	chore(governance): grandfather telic seam budget
chore/uplift-guard-recovery		1f97b446a	2026-05-03 23:18:01 +0800	fix(governance): restore uplift guard runner
claude/debug-corral	origin/claude/debug-corral	62cc51b85	2026-06-28 01:48:19 +0900	feat(debug): make debug-corral — one door for the whole self-debug system
cleanup/action-authority-salvage-2026-05-13		afc962e22	2026-05-13 17:21:50 +0800	chore(cleanup): preserve action authority runtime wiring [impact-checked]
cleanup/agent-truth-spine-salvage-2026-05-13		64f86b4bd	2026-05-13 18:48:48 +0800	chore(cleanup): preserve agent truth spine lane [impact-checked]
cleanup/brake-stabilization-salvage-2026-05-13		1976329e1	2026-05-13 18:46:50 +0800	chore(cleanup): preserve brake stabilization residue [impact-checked]
cleanup/convergence-20260615-25	origin/cleanup/convergence-20260615-25	cffd79ead	2026-06-25 10:48:22 +0900	docs(governance): refresh cleanup convergence evidence
